dataset,file,format,rows,columns_count,columns,possible_keys,duplicate_rows,max_missing_pct
dataset_1,data.csv,.csv,174,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,0,10.34
dataset_10,data.csv,.csv,1069,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,423,21.89
dataset_11,data.csv,.csv,1047,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,396,22.64
dataset_12,data.csv,.csv,1014,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,369,20.91
dataset_13,data.parquet,.parquet,1109,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,451,23.81
dataset_14,data.parquet,.parquet,1039,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,412,25.51
dataset_15,data.csv,.csv,1028,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,391,24.22
dataset_16,data.parquet,.parquet,1056,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,411,23.67
dataset_17,data.json,.json,1057,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,383,18.45
dataset_18,data.parquet,.parquet,1069,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,425,24.98
dataset_19,data.json,.json,1110,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,468,23.69
dataset_2,data.csv,.csv,1026,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,399,20.08
dataset_20,data.xlsx,.xlsx,1062,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,409,19.4
dataset_21,data.csv,.csv,996,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,386,20.98
dataset_22,data.parquet,.parquet,987,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,368,25.03
dataset_23,data.json,.json,1128,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,446,25.44
dataset_24,data.xlsx,.xlsx,1096,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,405,24.27
dataset_25,data.xlsx,.xlsx,1034,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,399,24.08
dataset_26,data.parquet,.parquet,1053,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,414,22.41
dataset_27,data.parquet,.parquet,1103,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,457,20.04
dataset_28,data.xlsx,.xlsx,1067,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,415,24.84
dataset_29,data.csv,.csv,1063,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,422,25.49
dataset_3,data.xlsx,.xlsx,1056,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,392,20.55
dataset_30,data.csv,.csv,1108,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,416,21.21
dataset_31,data.json,.json,1079,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,435,21.32
dataset_32,data.csv,.csv,1073,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,426,22.27
dataset_33,data.xlsx,.xlsx,1096,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,475,24.73
dataset_34,data.xlsx,.xlsx,1022,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,394,23.68
dataset_35,data.xlsx,.xlsx,1105,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,428,20.81
dataset_36,data.csv,.csv,1062,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,419,20.24
dataset_37,data.json,.json,1042,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,382,22.94
dataset_38,data.csv,.csv,1023,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,410,22.19
dataset_39,data.json,.json,1062,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,402,23.26
dataset_4,data.parquet,.parquet,1076,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,411,24.44
dataset_40,data.csv,.csv,1071,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,433,19.33
dataset_41,data.xlsx,.xlsx,1025,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,379,22.44
dataset_42,data.xlsx,.xlsx,958,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,354,21.5
dataset_43,data.parquet,.parquet,1067,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,410,21.27
dataset_44,data.csv,.csv,1061,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,421,23.66
dataset_45,data.csv,.csv,1035,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,394,24.54
dataset_46,data.parquet,.parquet,1018,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,410,21.12
dataset_47,data.xlsx,.xlsx,1045,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,402,22.87
dataset_48,data.csv,.csv,1021,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,422,22.14
dataset_5,data.parquet,.parquet,993,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,383,23.87
dataset_6,data.parquet,.parquet,979,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,357,21.76
dataset_7,data.csv,.csv,1079,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,450,22.15
dataset_8,data.csv,.csv,1052,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,409,18.73
dataset_9,data.json,.json,1084,22,car_id | Бренд | Год выпуска | Модель | Тип машины | Полное название | Исползование | КПП | Двигатель | Привод | Топливо | Расход | Пробег | Цвет | Локация | Количество цилиндров | Тип кузова | Двери | Количество кресел | Оценка эксперта | Количество владельцев | Предложение,car_id,430,20.2
